=== Log tail 2026-09-18T15:24:32.404088 | last 200 lines ===
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\PC\AppData\Roaming\Python\Python311\site-packages\requests\models.py", line 826, in generate
    raise ConnectionError(e)
requests.exceptions.ConnectionError: HTTPSConnectionPool(host='codeload.github.com', port=443): Read timed out.

2026-09-18 15:16:27,824 - INFO - [global] Драйвер работает! | Клава=1 | Мышь=11
2026-09-18 15:16:31,389 - INFO - [global] Запустил периодический загрузчик логов
2026-09-18 15:16:31,389 - INFO - [global] Запустил чекер обнов
2026-09-18 15:16:31,389 - INFO - [global] Проверяю обновы...
2026-09-18 15:16:32,486 - DEBUG - [global] needs_update: raw → 5.10.7
2026-09-18 15:16:32,749 - DEBUG - [global] needs_update: raw → 5.10.7
2026-09-18 15:16:33,932 - DEBUG - [global] needs_update: API GitHub → 5.10.7
2026-09-18 15:16:34,039 - DEBUG - [global] needs_update: API GitHub → 5.10.7
2026-09-18 15:16:35,497 - DEBUG - [global] needs_update: jsdelivr → 5.9.1
2026-09-18 15:16:35,497 - DEBUG - [global] needs_update: лучший источник raw → 5.10.7 (из 3)
2026-09-18 15:16:35,513 - INFO - [global] needs_update: local=(5, 10, 6) remote=(5, 10, 7) -> has_update=True
2026-09-18 15:16:35,513 - INFO - [global] Доступна обнова! Спавню кнопку
2026-09-18 15:16:35,559 - DEBUG - [global] needs_update: jsdelivr → 5.9.1
2026-09-18 15:16:35,560 - DEBUG - [global] needs_update: лучший источник raw → 5.10.7 (из 3)
2026-09-18 15:16:35,575 - INFO - [global] needs_update: local=(5, 10, 6) remote=(5, 10, 7) -> has_update=True
2026-09-18 15:17:01,474 - INFO - [global] LogUploader: запускаю upload_run_logs...
2026-09-18 15:17:01,479 - DEBUG - [global] log_uploader: START window=periodic made=-1 token=...Rjnfq
2026-09-18 15:17:01,480 - DEBUG - [global] log_uploader: STEP 1 SKIP (no C:\Users\PC\Desktop\L2Mauto\logs\periodic.log)
2026-09-18 15:17:01,481 - DEBUG - [global] log_uploader: STEP 2 SKIP (no PNGs)
2026-09-18 15:17:02,865 - DEBUG - [global] _api_put: GET runs/20260918_151701_fail_global.log -> 404
2026-09-18 15:17:04,758 - DEBUG - [global] _api_put: PUT runs/20260918_151701_fail_global.log -> 201 (14792 bytes)
2026-09-18 15:17:04,763 - DEBUG - [global] log_uploader: STEP 3 (global log) -> https://github.com/StarateJI/L2Mauto/blob/bot-logs/runs/20260918_151701_fail_global.log
2026-09-18 15:17:04,763 - DEBUG - [global] log_uploader: END window=periodic
