epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8945,3.10447,3.20774,2.67484,0.02667,0.53886,0.12377,0.02729,3.13701,2.68183,2.21096,0.000571429,0.000571429,0.000571429
2,40.4957,2.63433,2.92675,2.22832,0.03769,0.76166,0.16899,0.04461,2.83427,2.54967,1.89745,0.00122584,0.00122584,0.00122584
3,60.8564,2.50558,2.78601,2.09687,0.05793,0.62694,0.09531,0.02344,2.81198,2.6791,2.08442,0.00186705,0.00186705,0.00186705
4,81.1879,2.41487,2.58415,2.04811,0.14749,0.18653,0.07127,0.0161,2.77922,2.92125,2.27294,0.0019406,0.0019406,0.0019406
5,101.492,2.29414,2.4768,1.99485,0.09253,0.04663,0.02427,0.00664,2.49828,3.53316,2.34871,0.0019208,0.0019208,0.0019208
6,121.888,2.48006,2.56589,2.08826,0.13746,0.18653,0.07157,0.01608,2.49616,3.26544,2.28943,0.001901,0.001901,0.001901
7,142.421,2.20859,2.35795,1.93973,0.11868,0.31606,0.07961,0.0169,2.81068,3.00474,2.48522,0.0018812,0.0018812,0.0018812
8,163.257,2.16157,2.32465,1.93208,0.11868,0.31606,0.07961,0.0169,2.81068,3.00474,2.48522,0.0018614,0.0018614,0.0018614
9,183.684,2.20543,2.2713,1.94856,0.11136,0.25907,0.0861,0.01898,2.65551,3.00521,2.42042,0.0018416,0.0018416,0.0018416
10,204.114,2.17721,2.32205,1.92877,0.12144,0.37306,0.11071,0.02679,2.59961,4.18615,2.60741,0.0018218,0.0018218,0.0018218
11,224.953,2.02302,2.32664,1.83285,0.11506,0.45596,0.13003,0.0413,2.8059,8.23324,3.33438,0.001802,0.001802,0.001802
12,245.366,2.25702,2.31651,1.99231,0.13479,0.48187,0.14268,0.04021,2.68667,8.26155,3.02875,0.0017822,0.0017822,0.0017822
13,265.673,2.02962,2.23444,1.84023,0.11407,0.42487,0.12217,0.02436,2.70463,8.43365,3.20116,0.0017624,0.0017624,0.0017624
14,286.314,2.06146,2.21525,1.84502,0.1896,0.27461,0.1475,0.02314,2.59796,3.4245,2.48938,0.0017426,0.0017426,0.0017426
15,306.914,2.01405,2.17152,1.80564,0.33278,0.30052,0.23945,0.05453,2.37596,2.42381,2.0814,0.0017228,0.0017228,0.0017228
16,327.715,1.99129,2.12853,1.79772,0.33278,0.30052,0.23945,0.05453,2.37596,2.42381,2.0814,0.001703,0.001703,0.001703
17,348.272,1.97308,2.09422,1.78939,0.24236,0.33161,0.20433,0.05676,2.435,2.32976,2.02994,0.0016832,0.0016832,0.0016832
18,368.961,1.97153,2.06337,1.80019,0.17604,0.36788,0.14696,0.03955,2.42189,2.61548,2.1354,0.0016634,0.0016634,0.0016634
19,389.586,2.03739,2.11658,1.87611,0.24679,0.32766,0.19379,0.06572,2.14951,2.4409,1.9262,0.0016436,0.0016436,0.0016436
